,地区,新增,现有,累计,治愈,死亡
0,西藏,0,0,1,1,0
1,澳门,0,1,83,82,0
2,青海,0,1,147,146,0
3,台湾,60083,1936448,1952355,13742,2165
4,香港,47,260757,332335,62200,9378
5,贵州,0,0,185,183,2
6,吉林,1,192,40293,40096,5
7,新疆,0,0,1008,1005,3
8,宁夏,0,0,122,122,0
9,内蒙古,0,0,1753,1752,1
10,甘肃,0,0,681,679,2
11,天津,0,111,1975,1861,3
12,山西,0,0,420,420,0
13,辽宁,0,2,1675,1671,2
14,黑龙江,0,1,2984,2970,13
15,海南,0,0,288,282,6
16,河北,0,0,2004,1997,7
17,陕西,0,5,3283,3275,3
18,云南,3,16,2148,2130,2
19,广西,3,15,1632,1615,2
20,福建,7,94,3258,3163,1
21,上海,13,907,63001,61499,595
22,北京,16,472,3368,2887,9
23,江苏,0,14,2235,2221,0
24,四川,2,207,2332,2122,3
25,山东,0,2,2735,2726,7
26,江西,0,0,1383,1382,1
27,重庆,0,3,711,702,6
28,安徽,0,0,1065,1059,6
29,湖南,0,1,1393,1388,4
30,河南,0,83,3180,3075,22
31,广东,5,43,7301,7250,8
32,浙江,0,23,3137,3113,1
33,湖北,0,1,68399,63886,4512
